first_seen,last_seen,image_file,bbox_x1,bbox_y1,bbox_x2,bbox_y2,vehicle_type,avg_color_hex,license_plate
2025-06-01T14:26:07.790238,2025-06-01T14:26:07.790238,car_20250601_142607_790238.jpg,509,231,576,301,Car,#c8dcde,
2025-06-01T14:26:08.054115,2025-06-01T14:26:08.054115,car_20250601_142608_054115.jpg,594,165,639,214,Car,#617d8f,
2025-06-01T14:26:08.437100,2025-06-01T14:26:08.437100,car_20250601_142608_437100.jpg,559,181,613,222,Car,#2e4459,
2025-06-01T14:26:08.557957,2025-06-01T14:26:08.787305,car_20250601_142608_557957.jpg,548,165,600,211,Car,#2d455a,
2025-06-01T14:26:08.437100,2025-06-01T14:26:09.059346,car_20250601_142608_437100.jpg,599,132,639,181,Car,#526b80,
2025-06-01T14:26:09.437585,2025-06-01T14:26:09.437585,car_20250601_142609_437585.jpg,574,97,622,151,Car,#526c7f,
2025-06-01T14:26:09.561761,2025-06-01T14:26:09.561761,car_20250601_142609_561761.jpg,203,287,256,348,Car,#82a2a8,
2025-06-01T14:26:09.561761,2025-06-01T14:26:09.561761,car_20250601_142609_561761.jpg,74,284,123,342,Car,#8fa5aa,
2025-06-01T14:26:09.561761,2025-06-01T14:26:09.561761,car_20250601_142609_561761.jpg,395,299,441,351,Car,#829ea2,
2025-06-01T14:26:09.829109,2025-06-01T14:26:09.829109,car_20250601_142609_829109.jpg,303,90,351,154,Car,#3e6175,
2025-06-01T14:26:08.787305,2025-06-01T14:26:10.298574,car_20250601_142608_787305.jpg,556,285,605,338,Car,#8ca5b6,
2025-06-01T14:26:09.829109,2025-06-01T14:26:10.644957,car_20250601_142609_829109.jpg,466,280,524,344,Car,#91a7ae,
2025-06-01T14:26:09.499767,2025-06-01T14:26:10.780997,car_20250601_142609_499767.jpg,179,270,232,331,Car,#85a3a8,
2025-06-01T14:26:09.829109,2025-06-01T14:26:10.957690,car_20250601_142609_829109.jpg,16,259,58,308,Car,#93a9b2,
2025-06-01T14:26:09.829109,2025-06-01T14:26:10.957690,car_20250601_142609_829109.jpg,300,271,351,331,Car,#4e666f,
2025-06-01T14:26:09.829109,2025-06-01T14:26:10.957690,car_20250601_142609_829109.jpg,551,106,598,156,Car,#566a76,
2025-06-01T14:26:09.829109,2025-06-01T14:26:10.957690,car_20250601_142609_829109.jpg,154,266,212,329,Car,#89acba,
2025-06-01T14:26:10.957690,2025-06-01T14:26:10.957690,car_20250601_142610_957690.jpg,442,281,507,348,Car,#96adaf,
2025-06-01T14:26:10.957690,2025-06-01T14:26:10.957690,car_20250601_142610_957690.jpg,540,290,590,341,Car,#8aa1ad,
2025-06-01T14:26:09.499767,2025-06-01T14:26:11.907946,car_20250601_142609_499767.jpg,362,281,411,335,Car,#8ba6a9,
2025-06-01T14:26:10.298574,2025-06-01T14:26:12.405868,car_20250601_142610_298574.jpg,607,101,639,153,Car,#516a7b,
2025-06-01T14:26:13.116642,2025-06-01T14:26:13.179476,car_20250601_142613_116642.jpg,471,319,526,380,Car,#94a9ad,
2025-06-01T14:26:13.116642,2025-06-01T14:26:13.116642,car_20250601_142613_116642.jpg,384,319,430,372,Car,#829ea1,
2025-06-01T14:26:13.116642,2025-06-01T14:26:13.116642,car_20250601_142613_116642.jpg,0,124,39,180,Car,#5a707b,
2025-06-01T14:26:13.328352,2025-06-01T14:26:13.328352,car_20250601_142613_328352.jpg,573,323,627,382,Car,#849aa6,
2025-06-01T14:26:15.343155,2025-06-01T14:26:15.343155,car_20250601_142615_343155.jpg,370,72,417,126,Car,#3c6071,
2025-06-01T14:26:15.436666,2025-06-01T14:26:15.495641,car_20250601_142615_436666.jpg,271,235,323,297,Car,#80a0a4,
2025-06-01T14:26:15.436666,2025-06-01T14:26:15.495641,car_20250601_142615_436666.jpg,9,8,61,70,Car,#718b96,
2025-06-01T14:26:15.436666,2025-06-01T14:26:15.495641,car_20250601_142615_436666.jpg,553,267,607,329,Car,#829699,
2025-06-01T14:26:15.436666,2025-06-01T14:26:15.495641,car_20250601_142615_436666.jpg,0,204,40,261,Car,#768f99,
2025-06-01T14:26:15.495641,2025-06-01T14:26:15.495641,car_20250601_142615_495641.jpg,213,27,277,105,Car,#576d76,
2025-06-01T14:26:15.495641,2025-06-01T14:26:15.495641,car_20250601_142615_495641.jpg,51,9,104,71,Car,#627b84,
2025-06-01T14:26:15.495641,2025-06-01T14:26:15.495641,car_20250601_142615_495641.jpg,128,215,181,280,Car,#94a9a9,
2025-06-01T14:26:16.349107,2025-06-01T14:26:16.349107,car_20250601_142616_349107.jpg,13,57,80,122,Car,#667d87,
2025-06-01T14:26:16.349107,2025-06-01T14:26:16.349107,car_20250601_142616_349107.jpg,0,66,34,124,Car,#809aa5,
2025-06-01T14:26:16.349107,2025-06-01T14:26:16.349107,car_20250601_142616_349107.jpg,528,110,578,169,Car,#283a43,
2025-06-01T14:26:16.349107,2025-06-01T14:26:16.411210,car_20250601_142616_349107.jpg,400,87,454,153,Car,#395d70,
2025-06-01T14:26:16.349107,2025-06-01T14:26:17.543750,car_20250601_142616_349107.jpg,554,299,611,363,Car,#7c9094,
2025-06-01T14:26:17.543750,2025-06-01T14:26:17.543750,car_20250601_142617_543750.jpg,464,302,510,357,Car,#738e91,
2025-06-01T14:31:39.644488,2025-06-01T14:31:39.741213,car_20250601_143139_644488.jpg,370,246,419,297,Car,#83a0a2,
2025-06-01T14:31:39.644488,2025-06-01T14:31:39.741213,car_20250601_143139_644488.jpg,318,238,371,295,Car,#566f73,
2025-06-01T14:31:39.550279,2025-06-01T14:31:39.834180,car_20250601_143139_550279.jpg,544,234,598,289,Car,#849ba7,
2025-06-01T14:31:39.076242,2025-06-01T14:31:40.119844,car_20250601_143139_076242.jpg,99,83,162,148,Car,#546972,
2025-06-01T14:31:39.171644,2025-06-01T14:31:40.119844,car_20250601_143139_171644.jpg,618,67,639,100,Car,#4f616e,
2025-06-01T14:31:40.119844,2025-06-01T14:31:40.119844,car_20250601_143140_119844.jpg,574,70,622,119,Car,#4e6676,
2025-06-01T14:31:40.205737,2025-06-01T14:31:40.205737,car_20250601_143140_205737.jpg,162,305,221,373,Car,#8aa7aa,
2025-06-01T14:31:40.275721,2025-06-01T14:31:40.275721,car_20250601_143140_275721.jpg,558,90,611,140,Car,#516a7b,
2025-06-01T14:31:40.371817,2025-06-01T14:31:40.476994,car_20250601_143140_371817.jpg,151,339,219,406,Car,#86a5ac,
2025-06-01T14:31:40.371817,2025-06-01T14:31:40.476994,car_20250601_143140_371817.jpg,0,351,59,422,Car,#93a9ae,
2025-06-01T14:31:40.576353,2025-06-01T14:31:40.576353,car_20250601_143140_576353.jpg,402,337,472,405,Car,#7e9aa2,
2025-06-01T14:31:40.576353,2025-06-01T14:31:40.576353,car_20250601_143140_576353.jpg,18,127,103,212,Car,#556b76,
2025-06-01T14:31:40.576353,2025-06-01T14:31:40.576353,car_20250601_143140_576353.jpg,510,310,595,394,Car,#889ea5,
2025-06-01T14:31:40.576353,2025-06-01T14:31:40.576353,car_20250601_143140_576353.jpg,329,327,405,409,Car,#556d75,
2025-06-01T14:31:40.576353,2025-06-01T14:31:40.668695,car_20250601_143140_576353.jpg,143,366,228,448,Car,#809ea7,
2025-06-01T14:31:41.031804,2025-06-01T14:31:41.031804,car_20250601_143141_031804.jpg,331,115,396,190,Car,#3b5f73,
2025-06-01T14:31:41.031804,2025-06-01T14:31:42.760851,car_20250601_143141_031804.jpg,64,132,149,219,Car,#586f7b,
2025-06-01T14:31:45.526685,2025-06-01T14:31:48.116262,car_20250601_143145_526685.jpg,75,147,159,233,Car,#5a707e,
2025-06-01T14:31:40.576353,2025-06-01T14:31:48.306269,car_20250601_143140_576353.jpg,10,386,89,469,Car,#889d9f,
2025-06-01T14:31:40.761943,2025-06-01T14:31:48.306269,car_20250601_143140_761943.jpg,195,379,271,458,Car,#7d9ca5,
2025-06-01T14:31:40.857021,2025-06-01T14:31:48.306269,car_20250601_143140_857021.jpg,450,368,515,435,Car,#738e96,
2025-06-01T14:31:40.857021,2025-06-01T14:31:48.212229,car_20250601_143140_857021.jpg,377,364,450,439,Car,#455c65,
2025-06-01T14:31:40.953785,2025-06-01T14:31:48.212229,car_20250601_143140_953785.jpg,559,350,633,431,Car,#7a8e95,
2025-06-01T14:31:48.405905,2025-06-01T14:31:48.405905,car_20250601_143148_405905.jpg,221,371,298,447,Car,#7f9faf,
2025-06-01T14:31:48.405905,2025-06-01T14:31:48.405905,car_20250601_143148_405905.jpg,43,373,120,454,Car,#8ca3af,
2025-06-01T14:31:48.405905,2025-06-01T14:31:48.405905,car_20250601_143148_405905.jpg,433,348,546,434,Car,#6c8794,
2025-06-01T14:31:48.567858,2025-06-01T14:31:48.567858,car_20250601_143148_567858.jpg,0,324,162,449,Car,#7c9199,
2025-06-01T14:31:48.985824,2025-06-01T14:31:48.985824,car_20250601_143148_985824.jpg,335,378,413,451,Car,#7b9ba3,
2025-06-01T14:31:49.927122,2025-06-01T14:31:49.927122,car_20250601_143149_927122.jpg,514,172,585,242,Car,#2c4351,
2025-06-01T14:31:50.717293,2025-06-01T14:31:50.717293,car_20250601_143150_717293.jpg,491,158,561,227,Car,#2b4250,
2025-06-01T14:31:48.985824,2025-06-01T14:31:50.808811,car_20250601_143148_985824.jpg,0,438,50,479,Car,#33454e,
2025-06-01T14:31:50.808811,2025-06-01T14:31:50.808811,car_20250601_143150_808811.jpg,528,392,594,460,Car,#6f8e9d,
2025-06-01T14:31:49.826245,2025-06-01T14:31:50.905969,car_20250601_143149_826245.jpg,145,186,230,267,Car,#5a7584,
2025-06-01T14:31:50.717293,2025-06-01T14:31:50.905969,car_20250601_143150_717293.jpg,204,179,291,260,Car,#658291,
2025-06-01T14:31:50.905969,2025-06-01T14:31:50.905969,car_20250601_143150_905969.jpg,395,163,462,231,Car,#38607a,
2025-06-01T14:31:50.905969,2025-06-01T14:31:50.905969,car_20250601_143150_905969.jpg,468,151,539,220,Car,#2c4352,
2025-06-01T14:31:50.905969,2025-06-01T14:31:50.905969,car_20250601_143150_905969.jpg,272,171,355,250,Car,#738c98,
2025-06-01T14:31:50.991099,2025-06-01T14:31:50.991099,car_20250601_143150_991099.jpg,610,344,639,407,Car,#829fb0,
2025-06-01T14:31:50.991099,2025-06-01T14:31:51.096324,car_20250601_143150_991099.jpg,0,448,30,479,Car,#638090,
2025-06-01T14:31:50.991099,2025-06-01T14:31:51.854128,car_20250601_143150_991099.jpg,383,354,455,423,Car,#435d6c,
2025-06-01T14:31:51.662535,2025-06-01T14:31:51.854128,car_20250601_143151_662535.jpg,560,325,634,399,Car,#7c95a4,
2025-06-01T14:31:52.704917,2025-06-01T14:31:52.897057,car_20250601_143152_704917.jpg,111,164,189,238,Car,#567081,
2025-06-01T14:31:52.518847,2025-06-01T14:31:53.217426,car_20250601_143152_518847.jpg,457,334,520,394,Car,#7696a4,
2025-06-01T14:31:53.697155,2025-06-01T14:31:53.697155,car_20250601_143153_697155.jpg,146,152,227,226,Car,#627d8c,
2025-06-01T14:31:53.595507,2025-06-01T14:31:55.216290,car_20250601_143153_595507.jpg,609,88,639,129,Car,#4b5e6e,
2025-06-01T14:31:56.261500,2025-06-01T14:31:56.261500,car_20250601_143156_261500.jpg,142,159,223,233,Car,#627d8c,
2025-06-01T14:31:54.932622,2025-06-01T14:31:58.718945,car_20250601_143154_932622.jpg,543,310,615,380,Car,#839aa8,
2025-06-01T14:31:52.997085,2025-06-01T14:31:59.378545,car_20250601_143152_997085.jpg,374,334,443,401,Car,#4a6675,
2025-06-01T14:31:50.808811,2025-06-01T14:31:59.480308,car_20250601_143150_808811.jpg,217,364,287,430,Car,#7ba1b5,
2025-06-01T14:31:50.905969,2025-06-01T14:31:59.480308,car_20250601_143150_905969.jpg,57,382,129,452,Car,#92aebe,
2025-06-01T14:31:50.991099,2025-06-01T14:31:59.480308,car_20250601_143150_991099.jpg,101,166,179,237,Car,#5a7585,
2025-06-01T14:31:50.991099,2025-06-01T14:31:59.480308,car_20250601_143150_991099.jpg,443,334,504,392,Car,#70909f,
2025-06-01T14:31:59.480308,2025-06-01T14:31:59.480308,car_20250601_143159_480308.jpg,0,418,26,459,Car,#657e8c,
2025-06-01T14:31:59.480308,2025-06-01T14:31:59.560650,car_20250601_143159_480308.jpg,606,104,639,149,Car,#506576,
2025-06-01T14:31:59.560650,2025-06-01T14:31:59.560650,car_20250601_143159_560650.jpg,95,360,167,430,Car,#8fa9b6,
2025-06-01T14:31:59.560650,2025-06-01T14:31:59.560650,car_20250601_143159_560650.jpg,0,374,69,443,Car,#718ea0,
2025-06-01T14:31:59.560650,2025-06-01T14:31:59.560650,car_20250601_143159_560650.jpg,404,129,463,185,Car,#2c424f,
2025-06-01T14:31:59.560650,2025-06-01T14:31:59.560650,car_20250601_143159_560650.jpg,0,188,48,241,Car,#5d788e,
